Country,Management,Location,Plot,Replication,BLK,Pedigree,Entry,YLD,AD,ASI,rEPP,nP,EA
Ethiopia,Low Nitrogen,Bako Low N,44,2,9,ECAVL17/NIP25,20,2.379093333,88,1,0.933333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,45,2,9,DH04,30,1.76368254,90,2,0.733333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,46,2,10,ECAVL2/ECAVL16-STR,8,2.91471746,88,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,47,2,10,ECAVL1/ECAVL17,4,2.550539683,88,2,0.928571429,14,2
Ethiopia,Low Nitrogen,Bako Low N,48,2,10,ECAVL2-#,23,2.466780952,89,2,0.8,15,2
Ethiopia,Low Nitrogen,Bako Low N,49,2,10,ECAVL16-STR/ECAVL17,16,5.082730159,87,0,1.2,15,1.5
Ethiopia,Low Nitrogen,Bako Low N,50,2,10,ECAVL18-#,27,2.473386667,87,2,1.076923077,13,2
Ethiopia,Low Nitrogen,Bako Low N,51,2,11,ECAVL16/ECAVL16-STR,12,1.434497778,89,1,0.857142857,14,3
Ethiopia,Low Nitrogen,Bako Low N,52,2,11,ECAVL2/ECAVL16,7,1.335822222,89,2,0.916666667,12,2.5
Ethiopia,Low Nitrogen,Bako Low N,53,2,11,ECAVL1/ECAVL16,2,1.93176127,88,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,54,2,11,ECAVL1/ECAVL16-STR,3,0.955238095,89,2,0.571428571,14,3.5
Ethiopia,Low Nitrogen,Bako Low N,55,2,11,ECAVL16-#,24,1.074702222,89,2,1.090909091,11,3
Ethiopia,Low Nitrogen,Bako Low N,56,2,12,ECAVL17-#,26,0.795146667,91,3,0.75,12,3
Ethiopia,Low Nitrogen,Bako Low N,57,2,12,ECAVL16-STR/NIP25,18,0.408431746,92,2,0.571428571,14,4
Ethiopia,Low Nitrogen,Bako Low N,58,2,12,ECAVL16/NIP25,15,0.727621587,90,1,0.533333333,15,3
Ethiopia,Low Nitrogen,Bako Low N,59,2,12,ECAVL1/ECAVL2,1,3.25584,90,1,1.066666667,15,2
Ethiopia,Low Nitrogen,Bako Low N,60,2,12,ECAVL2/ECAVL18,10,3.654514286,87,0,0.933333333,15,2
Ethiopia,Low Nitrogen,Bako Low N,61,3,13,ECAVL2/NIP25,11,2.677688889,82,2,0.866666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,62,3,13,ECAVL1/ECAVL16,2,2.880954921,82,3,0.933333333,15,2
Ethiopia,Low Nitrogen,Bako Low N,63,3,13,NIP25-#,28,0.946711111,87,2,0.466666667,15,3
Ethiopia,Low Nitrogen,Bako Low N,64,3,13,ECAVL18-#,27,1.130742857,88,2,0.733333333,15,3
Ethiopia,Low Nitrogen,Bako Low N,65,3,13,ECAVL16/NIP25,15,0.944595556,84,3,0.733333333,15,3
Ethiopia,Low Nitrogen,Bako Low N,66,3,14,ECAVL1/ECAVL18,5,1.671504762,88,3,0.733333333,15,3
Ethiopia,Low Nitrogen,Bako Low N,67,3,14,ECAVL17/ECAVL18,19,2.131702857,89,2,1.266666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,68,3,14,ECAVL16-STR-#,25,2.272840635,90,2,0.615384615,13,4
Ethiopia,Low Nitrogen,Bako Low N,69,3,14,ECAVL2/ECAVL18,10,1.025137778,89,2,0.666666667,15,3.5
Ethiopia,Low Nitrogen,Bako Low N,70,3,14,ECAVL16/ECAVL16-STR,12,1.921269841,85,2,0.928571429,14,3
Ethiopia,Low Nitrogen,Bako Low N,71,3,15,ECAVL16-STR/NIP25,18,2.266666667,89,2,0.933333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,72,3,15,ECAVL17/NIP25,20,2.852222222,84,2,0.8,15,2
Ethiopia,Low Nitrogen,Bako Low N,73,3,15,ECAVL18/NIP25,21,2.716891429,87,2,0.933333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,74,3,15,ECAVL16-STR/ECAVL17,16,2.608544762,88,2,0.933333333,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,75,3,15,ECAVL2/ECAVL16,7,2.167257143,89,2,1,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,76,3,16,ECAVL1/ECAVL2,1,1.280040635,88,2,0.6,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,77,3,16,DH04,30,1.84519619,89,2,0.666666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,78,3,16,CML202/CML395/CML312-RE,29,.,.,.,.,.,.
Ethiopia,Low Nitrogen,Bako Low N,79,3,16,ECAVL2-#,23,1.031765079,93,1,1,13,3
Ethiopia,Low Nitrogen,Bako Low N,80,3,16,ECAVL16/ECAVL17,13,1.217178413,88,2,0.8,15,3
Ethiopia,Low Nitrogen,Bako Low N,81,3,17,ECAVL2/ECAVL17,9,0.545899683,88,3,0.75,8,4
Ethiopia,Low Nitrogen,Bako Low N,82,3,17,ECAVL1/ECAVL17,4,1.420142222,87,2,1.142857143,7,2.5
Ethiopia,Low Nitrogen,Bako Low N,83,3,17,ECAVL16-#,24,0.655433651,84,3,1.125,8,3
Ethiopia,Low Nitrogen,Bako Low N,84,3,17,ECAVL1/NIP25,6,2.282209524,86,1,0.846153846,13,2
Ethiopia,Low Nitrogen,Bako Low N,85,3,17,ECAVL17-#,26,1.862034286,87,2,0.8,10,2
Ethiopia,Low Nitrogen,Bako Low N,86,3,18,ECAVL16-STR/ECAVL18,17,1.754659048,88,2,0.666666667,15,2.5
Ethiopia,Low Nitrogen,Bako Low N,87,3,18,ECAVL1/ECAVL16-STR,3,1.420142222,89,2,1,7,2.5
Ethiopia,Low Nitrogen,Bako Low N,88,3,18,ECAVL2/ECAVL16-STR,8,0.829859048,88,2,0.727272727,11,3
Ethiopia,Low Nitrogen,Bako Low N,89,3,18,ECAVL16/ECAVL18,14,1.270887619,88,3,0.857142857,14,3
Ethiopia,Low Nitrogen,Bako Low N,90,3,18,ECAVL1-#,22,0.622620952,92,2,0.571428571,14,3.5
Ethiopia,Optimal,Bako,1,1,1,ECAVL16-STR/NIP25,18,2.710674286,79,2,0.909090909,11,3
Ethiopia,Optimal,Bako,2,1,1,ECAVL2-#,23,3.675794286,79,2,1.307692308,13,3
Ethiopia,Optimal,Bako,3,1,1,ECAVL16/NIP25,15,3.565165714,76,0,1,14,3
Ethiopia,Optimal,Bako,4,1,1,ECAVL16-#,24,3.900099048,76,3,1.214285714,14,3
Ethiopia,Optimal,Bako,5,1,1,ECAVL16-STR/ECAVL17,16,4.129564444,76,3,1.214285714,14,3
Ethiopia,Optimal,Bako,6,1,2,ECAVL2/ECAVL18,10,5.952853333,76,3,1.235294118,17,3
Ethiopia,Optimal,Bako,7,1,2,PHB3253,30,6.281102222,79,2,0.9375,16,2
Ethiopia,Optimal,Bako,8,1,2,ECAVL17/ECAVL18,19,5.727085714,79,2,1.25,16,2.5
Ethiopia,Optimal,Bako,9,1,2,NIP25-#,28,4.248543492,76,3,1,17,3
Ethiopia,Optimal,Bako,10,1,2,ECAVL16-STR/ECAVL18,17,7.529650794,79,2,1.6875,16,3
Ethiopia,Optimal,Bako,11,1,3,ECAVL1/NIP25,6,5.436830476,76,3,1.117647059,17,3
Ethiopia,Optimal,Bako,12,1,3,ECAVL16/ECAVL18,14,7.365302857,76,3,1.8125,16,2.5
Ethiopia,Optimal,Bako,13,1,3,ECAVL1-#,22,4.55168,76,3,1.307692308,13,3
Ethiopia,Optimal,Bako,14,1,3,ECAVL16/ECAVL17,13,5.7216,79,4,1.235294118,17,3
Ethiopia,Optimal,Bako,15,1,3,ECAVL2/ECAVL16,7,7.811088254,77,2,0.647058824,17,2.5
Ethiopia,Optimal,Bako,16,1,4,CML202/CML395/CML312-RE,29,4.04215873,83,0,2.6,10,2.5
Ethiopia,Optimal,Bako,17,1,4,ECAVL17/NIP25,20,7.938438095,76,3,1.235294118,17,2.5
Ethiopia,Optimal,Bako,18,1,4,ECAVL1/ECAVL16-STR,3,7.3152,76,0,1.529411765,17,3
