Country,Location,CrossName,Genotype,Rep,YLD,TGW,Heading,Height
ARGENTINA,Buenos Aires,CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*KAUZ,23,1,2.59,31.9,57,66
ARGENTINA,Buenos Aires,CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*KAUZ,23,2,2.75,33.7,57,64.5
ARGENTINA,Buenos Aires,CNO79//PF70354/MUS/3/PASTOR/4/BAV92*2/5/FH6-1-7,24,1,3.67,38.2,58,77
ARGENTINA,Buenos Aires,CNO79//PF70354/MUS/3/PASTOR/4/BAV92*2/5/FH6-1-7,24,2,3.67,38.2,54,62.8
ARGENTINA,Buenos Aires,CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2,25,1,3.35,37.3,55,72
ARGENTINA,Buenos Aires,CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2,25,2,3.91,37.2,56,75.5
ARGENTINA,Buenos Aires,GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92,26,1,3.91,37.2,54,68
ARGENTINA,Buenos Aires,GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92,26,2,3.72,40.8,55,76.8
ARGENTINA,Buenos Aires,KFA/3/PFAU/WEAVER//BRAMBLING/4/PFAU/WEAVER*2//BRAMBLING,27,1,2.29,36.8,56,69
ARGENTINA,Buenos Aires,KFA/3/PFAU/WEAVER//BRAMBLING/4/PFAU/WEAVER*2//BRAMBLING,27,2,1.62,34.1,56,64.5
ARGENTINA,Buenos Aires,KINGBIRD #1//INQALAB 91*2/TUKURU,28,1,2.05,30.4,57,63
ARGENTINA,Buenos Aires,KINGBIRD #1//INQALAB 91*2/TUKURU,28,2,2.49,19.9,61,73.3
ARGENTINA,Buenos Aires,MEX94.27.1.20/3/SOKOLL//ATTILA/3*BCN,29,1,2.39,38.9,57,66.5
ARGENTINA,Buenos Aires,MEX94.27.1.20/3/SOKOLL//ATTILA/3*BCN,29,2,2.39,38.9,54,69.5
ARGENTINA,Buenos Aires,MILAN/KAUZ//PRINIA/3/BAV92,30,1,2.47,41.4,55,76
ARGENTINA,Buenos Aires,MILAN/KAUZ//PRINIA/3/BAV92,30,2,2.92,38.9,54,70.8
ARGENTINA,Buenos Aires,MISR 1,31,1,1.34,33.2,55,60.5
ARGENTINA,Buenos Aires,MISR 1,31,2,2.64,41.5,56,69
ARGENTINA,Buenos Aires,MUNAL #1,32,1,2.4,35.8,57,67.8
ARGENTINA,Buenos Aires,MUNAL #1,32,2,2.4,35.8,54,61
ARGENTINA,Buenos Aires,OASIS/5*BORL95/5/CNDO/R143//ENTE/MEXI75/3/AE.SQ/4/2*OCI,33,1,2.66,40.2,54,63.8
ARGENTINA,Buenos Aires,OASIS/5*BORL95/5/CNDO/R143//ENTE/MEXI75/3/AE.SQ/4/2*OCI,33,2,1.51,33.3,54,62
ARGENTINA,Buenos Aires,OASIS/SKAUZ//4*BCN/3/2*PASTOR/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/6/SAUAL #1,34,1,1.43,36.8,57,63.8
ARGENTINA,Buenos Aires,OASIS/SKAUZ//4*BCN/3/2*PASTOR/5/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/6/SAUAL #1,34,2,1.43,36.8,57,76.3
ARGENTINA,Buenos Aires,PANDORA//WBLL1*2/BRAMBLING,35,1,1.12,28,56,56.5
ARGENTINA,Buenos Aires,PANDORA//WBLL1*2/BRAMBLING,35,2,3.79,35,58,71.5
ARGENTINA,Buenos Aires,PASTOR/3/URES/JUN//KAUZ/4/WBLL1,36,1,1.32,33.5,56,71.3
ARGENTINA,Buenos Aires,PASTOR/3/URES/JUN//KAUZ/4/WBLL1,36,2,1.01,31.7,55,65.8
ARGENTINA,Buenos Aires,PAVON F 76,37,1,1.79,30,55,69.5
ARGENTINA,Buenos Aires,PAVON F 76,37,2,1.76,32.8,56,73.3
ARGENTINA,Buenos Aires,PBW343*2/KUKUNA*2//FRTL/PIFED,38,1,2.27,32.4,58,67.8
ARGENTINA,Buenos Aires,PBW343*2/KUKUNA*2//FRTL/PIFED,38,2,3.15,37.2,56,67
ARGENTINA,Buenos Aires,PFAU/SERI.1B//AMAD/3/WAXWING,39,1,3.38,34.5,56,70.8
ARGENTINA,Buenos Aires,PFAU/SERI.1B//AMAD/3/WAXWING,39,2,3.31,36.9,54,79.3
ARGENTINA,Buenos Aires,QUAIU #3//MILAN/AMSEL,40,1,2.08,33.7,56,65.5
ARGENTINA,Buenos Aires,QUAIU #3//MILAN/AMSEL,40,2,2.08,33.7,56,60.3
ARGENTINA,Buenos Aires,RL6043/4*NAC//2*PASTOR,41,1,1.82,41.3,57,74.8
ARGENTINA,Buenos Aires,RL6043/4*NAC//2*PASTOR,41,2,1.32,32.8,56,66.5
